Order_ID,Order_Date,City,Product,Category,Quantity,Unit_Price,Discount,Sales
1,2026-03-04,Bengaluru,Smartphone,Electronics,1,25000,0.1,22500.0
2,2026-06-01,Mumbai,Headphones,Accessories,1,2500,0.0,2500.0
3,2026-02-25,Bengaluru,Laptop,Electronics,1,55000,0.0,55000.0
4,2026-06-16,Pune,Laptop,Electronics,5,55000,0.05,261250.0
5,2026-05-31,Chennai,Tablet,Electronics,2,18000,0.15,30600.0
6,2026-03-29,Chennai,Laptop,Electronics,2,55000,0.15,93500.0
7,2026-01-27,Hyderabad,Headphones,Accessories,2,2500,0.1,4500.0
8,2026-03-30,Delhi,Tablet,Electronics,1,18000,0.1,16200.0
9,2026-05-18,Hyderabad,Mouse,Accessories,1,900,0.15,765.0
10,2026-06-10,Delhi,Tablet,Electronics,1,18000,0.1,16200.0
11,2026-06-30,Hyderabad,Monitor,Electronics,5,12000,0.05,57000.0
12,2026-01-21,Bengaluru,Laptop,Electronics,2,55000,0.1,99000.0
13,2026-04-27,Pune,Smartphone,Electronics,4,25000,0.1,90000.0
14,2026-04-01,Bengaluru,Monitor,Electronics,2,12000,0.1,21600.0
15,2026-05-17,Pune,Mouse,Accessories,1,900,0.05,855.0
16,2026-04-08,Chennai,Keyboard,Accessories,2,1800,0.15,3060.0
17,2026-02-28,Hyderabad,Keyboard,Accessories,3,1800,0.0,5400.0
18,2026-01-17,Bengaluru,Monitor,Electronics,4,12000,0.1,43200.0
19,2026-04-12,Pune,Monitor,Electronics,2,12000,0.15,20400.0
20,2026-02-05,Bengaluru,Smartwatch,Wearables,2,6000,0.1,10800.0
21,2026-05-30,Mumbai,Mouse,Accessories,5,900,0.15,3825.0
22,2026-05-11,Mumbai,Monitor,Electronics,2,12000,0.05,22800.0
23,2026-02-09,Pune,Smartphone,Electronics,1,25000,0.0,25000.0
24,2026-04-09,Mumbai,Headphones,Accessories,4,2500,0.0,10000.0
25,2026-05-22,Hyderabad,Smartwatch,Wearables,5,6000,0.1,27000.0
26,2026-06-14,Chennai,Smartphone,Electronics,5,25000,0.1,112500.0
27,2026-02-10,Mumbai,Smartphone,Electronics,3,25000,0.15,63750.0
28,2026-05-10,Hyderabad,Laptop,Electronics,3,55000,0.05,156750.0
29,2026-02-09,Chennai,Mouse,Accessories,5,900,0.05,4275.0
30,2026-06-03,Chennai,Headphones,Accessories,5,2500,0.0,12500.0
